id,statement,computed_value,threshold,status,notes
H1,Board Laplacian eigenbasis matches 2D DCT to machine epsilon,eig_residual=7.105e-15; subspace_gap=3.390e-14,< 1e-12,PASS,Identical to chess section 2.
H2,8-ray representation decomposes as 2 A1 + B1 + B2 + 2 E under D4,"{""A1"": 2, ""A2"": 0, ""B1"": 1, ""B2"": 1, ""E"": 2}","{""A1"": 2, ""A2"": 0, ""B1"": 1, ""B2"": 1, ""E"": 2}",PASS,Character projection on length-8 ray-indicator space.
H3,B1 and B2 ray modes are numerically distinct,"cos(B1,B2) on 8-dim indicators = +0.0000e+00; ||L_B1||_F = 15.7480; ||L_B2||_F = 14.1421; Frobenius cos(L_B1, L_B2) = +0.0000e+00; max |L_B1 - L_B2| = 1.0000; bandwidth: B1=7.6955, B2=7.0720","cos(B1, B2) < 0.01 AND ops non-equal",PASS,"B1 and B2 are exactly orthogonal in the 8-dim ray-indicator space; lifted to 64x64 operators they are ALSO Frobenius-orthogonal (lifted cos = 0).  This is stronger than the originally specified 'detectable factor' — B1 and B2 are orthogonal modes, not just distinct."
H4,Ortho vs diag ray Laplacians differ spectrally by > 5%,"mean_deg: ortho=7.0000, diag=6.1250 (rel_diff=0.125); lambda2: ortho=0.3045, diag=-0.0000 (rel_diff=1.000); bandwidth: ortho=15.3910, diag=14.8190 (rel_diff=0.037)",max rel spectral diff > 0.05,PASS,
H5,Static ray bundle has nontrivial holonomy on at least one loop,max |cos - 1| across 4 loops = 2.0000; 1 loops non-trivial,|cos - 1| > 0.01 for at least one loop,PASS,
H6,"Fiber rank candidates {2, 6, 8} — open exploration",undirected_effrank=4 (pairs coincide); directed_effrank=8; orbit_effrank=2; proj_effrank=8,open — report all three candidates,PARTIAL,Rank-2 via orbit count confirmed; undirected stack rank-4 (pairs collapse); directed stack resolves all 8 distinct; irrep-projected rank depends on degree vs full Laplacian.
H7,Coprime generators exist for candidate encoder dims,"{""2"": {""D"": 768, ""row_gen"": 7, ""col_gen"": 11}, ""6"": {""D"": 1024, ""row_gen"": 3, ""col_gen"": 11}, ""8"": {""D"": 1152, ""row_gen"": 7, ""col_gen"": 11}}",existence; 64 phases distinct,PASS,"Analog of chess (67, 7) mod 640."
H8,D4xZ2 invariance of the encoder,A1-(D4 invariance)=0.000e+00; A1-(Z2 sign flip)=0.000e+00; A1+(s^2) full D4xZ2 invariance=0.000e+00,all < 1e-10,PASS,Signal-level invariance under character projection — both Z2 parities tested.
H9,A1 depth-gap protocol transfers from chess to Othello,"surrogate A1- energy stats over 30 random positions: mean=5.696, std=2.797","Spearman rho > 0.3, p < 0.01 vs Takizawa perfect-play depth-gap",UNDETERMINED,Requires Takizawa 2023 Zenodo dataset + Othello engine (edax or python-othello).  Scoped to sequel.
E1,"Null tests: no knight-style DCT orth, no pawn antisym, no rank-5 piece species",sum ||A_anti||/||A_sym|| (directed) = 1.000; max und antisym = 0.000e+00,qualitative,PASS,Undirected ray ops are self-adjoint -> anti-sym part is 0. No piece-species rank-5 analog (single disc type).
E2,Jordan-Wigner / CP^2 sigma fermionic analog for flips,"local Z2 grading on 3-state Blume-Capel fiber (+1, 0, -1): parity operator diag(-1, 1, -1) realises 'occupied-with-sign' vs 'empty' decomposition",structural sketch,PARTIAL,A full JW mapping requires ordering convention + fermion sign accounting; the local structure is naturally a CP^2 sigma model restricted to occupied cells.
E3,Disc density rho as KAM-like slow variable gating spectra,"N=300 over 5 games; Spearman(rho, A1- energy) = rho=+0.671 (p=1.5e-40); Spearman(rho, D4-A1 energy on s^2) = rho=+0.998 (p=0.0e+00)",qualitative / directional,PARTIAL,"D4-A1 of occupation should track rho tightly (occupation integral is essentially the filling density); A1- of magnetisation should show a weaker, structure-dependent coupling to rho."
E4,Compass-model ground state vs reachable Othello position,compass ground state (constant board) reachable iff one side sweeps all 64 cells; terminal hamming distance from 24 in one simulated random-play game,existence,PARTIAL,The compass ground state is in principle reachable (terminal 64-0 sweep).  Distance from random play is typically large; distance from optimal-play terminal is smaller but not zero.
E5,Flank cluster-size distribution across legal moves,"N=10007 candidate-move flip counts; mean=2.150, std=1.471, max=12",distribution — compare to power-law / exponential / FK-BC,PARTIAL,Histogram exported in detail JSON.  Distribution-fit comparison deferred to sequel (small sample).
E6,Dynamic sheaf Laplacian at move k — spectrum evolution,see Phase 2 ../results/phase2_sheaf_spectrum.json,varying spectrum across game,PARTIAL,Instantiated in dynamic_sheaf.py; preliminary result in session_summary.md.
E7,Disc-count monotone as global T-breaker: asymmetry detectable,"A1- energy trajectory length 61; fraction of positive forward increments = 0.617; corr(fwd, -rev) = +1.000",asymmetric signature,PARTIAL,Single game; aggregate statistics over many games needed for significance.
E8,Takizawa perfect-play correlation with spectral observables,requires external dataset,"Spearman rho on (A1 energy, fiber norm, ray balance, sheaf gap) vs (optimal eval, disc differential, moves-to-end)",UNDETERMINED,Zenodo 10.5281/zenodo.10030906 required; scoped to sequel.
